
coo: 31.0420031_31.3590136;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2017-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.52;117.46;11.45;125.94;21.16;136.18;29.01;148.72;34.22;163.75;35.99;180.50;34.00;197.20;28.62;212.10;20.64;224.50;10.85;234.63;-0.14;243.02;--;--;--;--;--;--;--;--;--;--;
2017-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.48;117.33;11.43;125.80;21.15;136.03;29.04;148.57;34.27;163.60;36.08;180.37;34.12;197.10;28.76;212.04;20.78;224.48;11.00;234.63;0.00;243.04;--;--;--;--;--;--;--;--;--;--;
2017-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.44;117.19;11.41;125.65;21.16;135.87;29.07;148.41;34.34;163.45;36.18;180.24;34.24;197.01;28.89;211.99;20.93;224.46;11.14;234.63;0.14;243.06;--;--;--;--;--;--;--;--;--;--;
2017-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.41;117.05;11.40;125.50;21.17;135.72;29.11;148.24;34.41;163.29;36.28;180.11;34.37;196.92;29.04;211.95;21.07;224.45;11.29;234.65;0.29;243.09;--;--;--;--;--;--;--;--;--;--;
2017-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;116.90;11.39;125.35;21.19;135.55;29.15;148.08;34.49;163.13;36.39;179.98;34.51;196.84;29.18;211.91;21.23;224.45;11.44;234.67;0.44;243.13;--;--;--;--;--;--;--;--;--;--;
2017-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;116.74;11.39;125.19;21.21;135.39;29.21;147.91;34.58;162.98;36.51;179.86;34.65;196.76;29.34;211.87;21.38;224.45;11.60;234.69;0.59;243.17;--;--;--;--;--;--;--;--;--;--;
2017-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.36;116.58;11.40;125.02;21.24;135.22;29.27;147.74;34.67;162.82;36.64;179.73;34.80;196.68;29.50;211.84;21.54;224.45;11.75;234.72;0.74;243.22;--;--;--;--;--;--;--;--;--;--;
2017-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.35;116.42;11.41;124.86;21.28;135.05;29.34;147.57;34.77;162.66;36.77;179.61;34.95;196.61;29.66;211.82;21.71;224.47;11.92;234.76;0.90;243.28;--;--;--;--;--;--;--;--;--;--;
2017-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.35;116.25;11.43;124.68;21.32;134.87;29.41;147.39;34.88;162.50;36.91;179.49;35.12;196.54;29.83;211.80;21.88;224.49;12.08;234.81;1.06;243.34;--;--;--;--;--;--;--;--;--;--;
2017-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.35;116.07;11.45;124.51;21.37;134.69;29.49;147.21;35.00;162.34;37.06;179.37;35.28;196.48;30.01;211.79;22.06;224.52;12.25;234.86;1.22;243.41;--;--;--;--;--;--;--;--;--;--;
